見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
人権の詩2020,人権をテーマにした詩※要題名。1人何点でも可,,,,,県内在住・在勤・在学の方,,,,,郵送、ファックス、Eメールで作品に住所、氏名（ふりがな）、年齢、電話番号、勤務先または学校名（学年）を記載して9月4日までに県人権啓発センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛2階電話073-435-5420　ファックス073-435-5421Eメール　kokoronouta@w-jinken.jp和歌山県人権啓発センターのぺージへリンク,,,,,,,
「社会を明るくする運動｣作文,犯罪・非行のない地域づくりや犯罪・非行をした人の立ち直りについて考えたこと、感じたこと,,,,,県内在学の小・中学生（特別支援学校含む）,,,規格：400字詰め原稿用紙3?5枚程度郵送で9月4日までに各地区の推進委員会事務局,「社会を明るくする運動｣県推進委員会事務局（和歌山保護観察所内）電話073-436-2501,,,,,,,,
明るい選挙啓発ポスター,,,,,,県内在住・在学の小・中・高校生（特別支援学校含む）・高等専門学校生（1?3年生）※1人1点,,,規格：四つ切り・八つ切り画用紙郵送、持参で作品裏面右下に県名、学校名、学年、氏名（ふりがな）を記入し、9月11日までに市町村選挙管理委員会,県選挙管理委員会（県庁市町村課内）県ウェブサイトでも掲載,,,,,,,,
手づくり紙芝居コンクール,ふるさと和歌山再発見！,,,,,県内在住・在勤・在学の方（制作を職業とする方は除く）,,,,,郵送、持参で作品、応募票（申込先、公立図書館、公民館などで配布）、400字以内のあらすじを7月22日?9月30日に県立図書館〒641-0051和歌山市西高松1-7-38電話073-436-9520和歌山県立図書館のぺージへリンク,,,,,,,
「わかやまの山村」絵画コンクール,山村の暮らし・風景・出来事や山村のイメージなど,,,,,県内在学の園児（4歳児～）・小・中・高校生（特別支援学校含む）,,,,,規格：四つ切り画用紙学校などを通じて郵送、持参で応募票（ウェブサイトで配布）を作品裏面に貼付し、7月27日?9月7日に県庁林業振興課県ウェブサイトでも掲載,,,,,,,
「男女でつくる元気な和歌山」ポスター,,,,,,県内在住・在学の小・中・高校生（特別支援学校含む）,,,,,規格：四つ切り画用紙※「女性が活躍する社会へ」「着たい服 何色でも いいんだよ」「DVのない社会を 次の世代へ」など標語を必ず記載郵送、持参で応募票（申込先、ウェブサイトで配布）を作品裏面に貼付し、9月15日までに県男女共同参画センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛9階電話073-435-5245県ウェブサイトでも掲載,,,,,,,
子供サポートレッスン,少人数での鉄棒・跳び箱・マット運動など,,,8月8日（土）?11日（火）・13日（木）,和歌山ビッグウエーブ（和歌山市）,,,,,,県スポーツ振興財団電話073-433-0035和歌山県スポーツ振興財団のぺージへリンク※詳しくは要問合せ,,,,,,,
心の輪を広げる体験作文・障害者週間のポスター,障害のある人とない人の心のふれあい体験を描いた作品を募集,【作文の部】,,,,小学生以上,,,,,400字詰め原稿用紙で小・中学生は2?4枚、高校生・一般は4?6枚程度郵送、持参で所定の用紙（申込先、ウェブサイトで配布）と作品を9月4日までに県庁障害福祉課県ウェブサイトでも掲載,,,,,,,
心の輪を広げる体験作文・障害者週間のポスター,障害のある人とない人の心のふれあい体験を描いた作品を募集,【ポスターの部】,,,,小・中学生,,,,,B3判・四つ切り画用紙縦長、標語その他の文字は入れないものとする郵送、持参で所定の用紙（申込先、ウェブサイトで配布）と作品を9月4日までに県庁障害福祉課県ウェブサイトでも掲載,,,,,,,
障害者福祉バス（10?3月）,在宅障害者の社会参加を促進するための障害者福祉バスの利用申込,,,,,障害者とその介護者を合わせた人数が10人以上の障害者の団体,23回分（抽選）,,,,郵送、電話、ファックス、Eメールで所定の申込書（申込先、ウェブサイトで配布）を7月31日までに県子ども・女性・障害者相談センター〒641-0014和歌山市毛見1437-218電話073-445-5311　ファックス073-446-0036Eメール　e0404021@pref.wakayama.lg.jp県ウェブサイトでも掲載,,,,,,,
失語症者向け意思疎通支援者養成研修,,,,8月22日（土）? 全12回,*県勤労福祉会館プラザホープ、ふれ愛センターなど（和歌山市）,受講後、意思疎通支援者として活動できる県内在住・在勤の18歳以上の方,10人（先着順）,,,,郵送、ファックス、Eメールで所定の申込書（電話、Eメールで申込先から取り寄せ）を8月7日までに紀和病院リハビリテーション部〒648-0085橋本市岸上18-1電話0736-34-1317　ファックス0736-34-2614Eメール　wakayama.st.houkatsu@gmail.com,,,,,,,
ふぉすた～サロン,保育士として再就職を検討されている方の情報交換の場,,,8月4日（火）10:00?11:00,和歌山ビッグ愛（和歌山市）,,,,,,電話で住所、氏名、電話番号を8月3日までに県福祉人材センターハートワーク電話073-435-5211和歌山県福祉人材センターのぺージへリンク,,,,,,,
福祉・介護・保育の就職フェアわかやま,,,,8月1日（土）13:00?16:00,和歌山ビッグ愛（和歌山市）,,,,,県福祉人材センターハートワーク電話073-435-5211※原則要事前申込。詳しくは要問合せ※一時保育、手話通訳、要約筆記は要予約,,,,,,,,
8・9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(1)基礎から学ぶ医療事務員養成科（短時間）,,,和歌山市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
8・9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(2)パソコン応用科,,,和歌山市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
8・9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(3)介護初級科,,,和歌山市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
